file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,150,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,151,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,13
style.css,152,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,18
style.css,153,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,25
style.css,154,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,21
style.css,155,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,17
style.css,156,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,157,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,158,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,3
style.css,159,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,16
style.css,160,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,10
style.css,161,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,13
style.css,162,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,15
style.css,163,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,10
style.css,164,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,165,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,166,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,6
style.css,167,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,16
style.css,168,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,10
style.css,169,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,13
style.css,170,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,15
style.css,171,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,10
style.css,172,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,74
style.css,173,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,67
style.css,174,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,21
style.css,175,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,20
style.css,176,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,16
style.css,177,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,178,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,179,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,13
style.css,180,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,24
style.css,181,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,17
style.css,182,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,18
style.css,183,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,184,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,185,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,32
style.css,186,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,14
style.css,187,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,21
style.css,188,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,18
style.css,189,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,37
style.css,190,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,12
style.css,191,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,20
style.css,192,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,20
style.css,193,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,21
style.css,194,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,17
style.css,195,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,38
style.css,196,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,197,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,198,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,20
style.css,199,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,59
style.css,200,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,201,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,202,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,29
style.css,203,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,9
style.css,204,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,13
style.css,205,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,8
style.css,206,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,207,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,0
style.css,208,css,ce1d5ba8,Jacquelyn Garcia,2025-04-11,22:34:38,-07:00,2025-04-11T22:34:38-07:00,0,26
